,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152
0,0.0,982.3,1166.4,1846.0,2076.9,1987.8,1828.4,1074.3,592.0,1227.3,1125.8,1530.2,1596.5,1353.5,1964.8,1035.3,1178.8,807.4,972.0,1144.0,1448.3,1956.4,1301.6,936.2,1581.8,789.4,1187.4,928.8,611.5,1481.6,1865.4,768.0,1361.5,2078.0,855.8,1575.1,1312.8,813.6,928.8,1127.6,1964.8,1280.9,1060.1,2110.1,1078.2,1952.6,2056.0,1005.8,693.8,1607.6,1370.4,2002.3,1317.3,777.2,1997.4,1067.4,1568.1,1144.0,1319.4,1744.4,1338.8,797.0,1560.3,635.4,722.0,2081.6,1270.7,1128.5,1505.9,872.2,1735.3,1314.5,687.0,1184.5,1918.0,1163.9,904.1,802.7,1376.4,1186.6,1232.9,1610.4,896.2,1505.9,760.5,1423.8,2111.5,1553.2,1398.6,1210.5,1801.7,760.5,1592.9,966.9,1164.1,1120.9,1072.1,2002.7,1556.5,991.8,1161.1,1565.4,712.6,1150.9,1023.7,1907.3,1253.5,798.5,1955.6,1221.3,1582.6,1002.1,2009.1,579.2,1236.6,1747.0,1832.0,1881.7,1196.6,1241.9,1184.5,625.9,1378.6,1155.5,1153.4,2045.8,1640.0,1132.7,930.5,1241.0,1062.3,1844.8,1334.0,1367.1,820.8,923.1,1445.3,912.8,919.6,1445.0,1330.0,1022.6,1337.7,1992.4,913.6,1241.5,1379.0,1501.8,1411.6,1847.0,1862.9,999.1,2085.4
1,982.3,0.0,219.9,1037.8,1312.0,1223.0,1063.5,691.5,576.7,844.5,285.1,590.4,746.6,794.3,1377.8,178.9,338.2,361.3,170.0,303.4,617.8,1148.1,461.0,343.6,635.3,379.3,804.6,376.9,638.9,832.2,1057.1,395.1,758.6,1313.2,207.6,628.5,475.8,192.7,376.9,400.6,1377.8,348.3,208.9,1345.3,237.6,1144.3,1247.8,321.9,427.2,858.0,749.3,1237.5,874.7,391.5,1232.5,239.6,621.5,303.4,582.2,936.2,498.2,371.7,613.7,533.3,650.6,1316.8,804.5,287.9,613.2,110.0,1148.4,659.0,504.7,801.6,1109.8,323.2,170.5,569.1,969.5,349.6,286.4,1023.5,628.9,613.2,360.5,477.2,1359.1,606.6,524.3,310.8,1144.1,360.5,796.6,268.1,323.5,174.3,244.3,1237.9,610.0,243.2,320.5,815.8,645.5,310.2,339.9,1142.5,412.9,425.6,1190.7,384.2,833.0,232.9,1244.3,663.3,289.4,1160.1,1023.7,1073.4,236.7,859.1,343.8,542.8,971.7,565.4,312.7,1237.6,703.2,292.0,391.2,400.4,234.5,1036.6,891.5,446.9,615.1,59.2,649.0,326.6,652.3,498.4,397.4,265.2,391.1,1227.6,179.9,400.9,504.7,705.4,824.7,1101.0,1275.9,158.4,1320.5
2,1166.4,219.9,0.0,898.1,1158.1,1069.0,909.6,825.4,796.5,728.1,264.1,406.4,562.1,650.6,1234.1,342.3,180.7,581.2,276.5,282.3,474.0,1008.5,356.4,507.1,450.7,599.2,733.6,483.3,858.8,688.4,917.5,522.6,614.8,1159.3,427.5,444.5,582.3,412.0,483.3,395.4,1234.1,162.5,151.0,1191.4,216.6,1004.7,1108.2,421.6,554.7,714.2,605.6,1083.5,730.9,611.3,1078.6,403.2,437.0,282.3,438.4,796.5,338.3,591.6,429.7,753.2,870.4,1162.8,660.8,266.8,429.2,329.9,1004.6,765.4,724.6,787.3,970.1,302.2,390.3,728.6,825.7,456.1,101.8,879.7,735.3,429.2,487.9,293.2,1205.2,422.1,380.5,149.0,990.2,487.9,652.8,431.7,218.9,45.9,407.9,1083.9,425.4,406.8,299.4,672.0,865.3,289.2,391.6,988.5,308.3,553.1,1036.8,490.7,689.2,396.5,1090.4,883.2,284.0,1016.3,884.1,933.8,218.9,822.9,322.8,762.7,827.9,671.8,291.7,1097.9,518.7,271.0,550.7,320.3,398.1,896.9,747.7,261.1,742.5,279.1,505.2,490.2,758.7,313.9,211.5,428.8,207.1,1073.6,399.8,296.3,360.9,561.7,680.9,947.1,1132.2,212.1,1166.6
3,1846.0,1037.8,898.1,0.0,699.6,716.9,789.7,1340.6,1614.4,1243.3,816.0,812.2,368.0,1258.8,893.4,1160.7,752.5,1399.0,951.6,834.2,912.6,110.4,672.5,1325.4,654.6,1417.1,1248.8,1158.5,1571.2,1034.9,126.6,1197.8,1053.4,736.6,1166.1,817.1,749.7,1123.9,1158.5,1189.4,893.4,759.4,865.7,606.0,883.9,106.6,334.6,1261.5,1213.1,955.6,1227.9,618.9,1246.1,1429.2,604.9,1221.4,493.1,834.2,1037.2,101.6,686.9,1409.5,802.3,1571.1,1681.7,704.3,1144.2,818.7,834.6,1147.8,1122.9,531.5,1542.4,1302.5,72.0,969.5,1208.2,1550.9,1340.8,840.8,823.2,1125.7,968.9,834.6,1163.1,790.7,746.7,508.0,941.1,782.3,1055.3,1163.1,1041.2,1249.9,714.3,918.4,1226.1,554.0,629.3,1225.0,966.7,985.5,1672.3,841.1,1231.5,685.8,721.1,1228.3,803.8,883.9,968.4,1214.7,772.1,1701.1,1062.2,1142.1,93.2,142.9,1075.0,1338.1,874.7,1580.5,1343.1,740.2,843.6,199.8,411.4,822.9,1373.0,839.2,1216.4,393.6,1262.9,715.2,1025.2,1097.0,943.8,1308.5,992.3,676.2,710.4,1247.0,743.3,712.3,1217.7,815.2,960.7,1000.2,1104.8,1012.3,995.3,879.4,431.1
4,2076.9,1312.0,1158.1,699.6,0.0,374.6,350.1,1002.5,1516.4,905.2,1336.6,833.7,1046.2,920.8,193.8,1322.1,1220.1,1301.0,1399.2,1354.8,694.2,589.2,1326.5,1212.5,818.0,1319.0,910.8,1606.1,1578.6,595.3,826.2,1645.4,731.4,394.3,1519.6,880.9,1428.0,1504.7,1606.1,1017.8,193.8,1075.3,1284.0,368.2,1349.6,593.0,468.2,1115.4,1677.4,516.0,937.7,209.9,908.1,1331.2,195.8,1382.8,938.6,1354.8,789.0,801.2,1239.3,1311.4,842.0,1473.0,1590.3,4.7,806.2,1339.3,806.5,1422.1,423.2,1209.8,1444.4,964.5,627.6,1435.2,1482.5,1324.3,997.1,1519.1,1056.3,610.2,1647.2,806.5,1610.7,944.4,47.1,923.7,787.8,1188.4,615.7,1610.7,601.6,1283.7,1258.3,1188.0,1387.5,185.9,843.3,1258.8,1432.5,545.9,1585.2,1361.7,1085.4,246.2,1293.8,1675.9,461.5,1562.2,528.8,1248.5,429.8,1497.7,1112.6,563.5,792.8,842.5,1177.6,926.5,1395.2,1482.5,999.4,1418.4,1364.1,499.8,1020.3,1343.5,1196.3,1359.8,1377.8,679.5,924.8,1138.3,1703.4,1371.2,663.1,1195.6,1670.6,904.2,1088.7,1408.4,971.4,370.0,1492.0,1335.7,807.3,683.1,665.2,572.7,295.7,1345.1,268.5
5,1987.8,1223.0,1069.0,716.9,374.6,0.0,281.8,913.5,1427.3,816.2,1247.5,744.6,974.7,831.7,568.4,1233.0,1131.1,1211.9,1310.2,1265.7,605.2,606.5,1237.5,1123.4,729.0,1229.9,821.7,1517.0,1489.5,506.2,843.5,1556.3,642.3,94.1,1430.6,791.8,1445.2,1415.7,1517.0,928.8,568.4,986.3,1195.0,199.4,1260.5,610.3,485.5,1026.4,1588.4,427.0,848.6,177.0,819.0,1242.1,191.0,1293.8,849.6,1265.7,699.9,818.5,1150.3,1222.4,753.0,1384.0,1501.2,379.3,717.2,1250.2,717.5,1333.0,670.3,1227.0,1355.3,875.4,644.8,1346.2,1393.4,1235.2,913.8,1489.8,967.2,597.1,1664.4,717.5,1521.7,855.3,421.6,834.6,698.7,1099.4,535.5,1521.7,512.6,1194.6,1169.2,1098.9,1298.5,241.9,754.3,1169.8,1343.4,456.9,1496.1,1272.6,996.4,151.0,1204.8,1586.8,86.9,1524.4,439.7,1159.4,55.2,1408.7,1023.5,622.2,810.1,859.8,1088.6,911.0,1306.2,1393.4,916.0,1435.7,1275.1,517.1,931.3,1254.4,1107.3,1270.7,1288.7,696.7,835.8,1049.2,1720.7,1282.2,574.0,1106.5,1687.8,815.2,999.7,1319.4,882.3,4.6,1402.9,1246.7,718.3,594.1,576.2,492.4,670.3,1256.0,285.8
6,1828.4,1063.5,909.6,789.7,350.1,281.8,0.0,754.0,1267.9,656.7,1088.1,585.2,815.3,672.3,543.9,1073.6,971.6,1052.5,1150.7,1106.3,445.7,679.3,1078.0,964.0,569.5,1070.5,662.3,1357.6,1330.1,346.8,916.3,1396.9,482.9,351.2,1271.1,632.4,1315.5,1256.2,1357.6,769.3,543.9,826.8,1035.5,383.3,1101.1,683.1,558.3,866.9,1428.9,267.5,689.2,275.5,659.6,1082.7,270.6,1134.3,690.1,1106.3,540.5,891.3,990.8,1062.9,593.5,1224.5,1341.8,354.8,557.7,1090.8,558.0,1173.6,502.1,1097.3,1195.9,716.0,717.6,1186.7,1234.0,1075.8,754.3,1330.3,807.8,437.6,1534.7,558.0,1362.2,695.9,397.1,675.2,539.3,939.9,367.2,1362.2,353.1,1035.2,1009.8,939.5,1139.0,275.9,594.8,1010.3,1184.0,297.4,1336.7,1113.2,836.9,180.5,1045.3,1427.4,249.6,1365.0,280.3,1000.0,303.1,1249.2,864.1,454.0,882.9,932.6,929.1,751.6,1146.7,1234.0,756.5,1305.9,1115.6,589.9,771.8,1095.0,947.8,1111.3,1129.3,769.5,676.3,889.8,1591.0,1122.7,414.6,947.1,1558.1,655.7,840.2,1159.9,722.9,286.4,1243.5,1087.2,558.8,434.6,416.7,324.2,629.6,1096.6,358.6
7,1074.3,691.5,825.4,1340.6,1002.5,913.5,754.0,0.0,581.8,153.0,920.7,567.4,972.6,279.2,890.4,604.8,887.5,567.9,805.6,938.9,428.0,1331.8,1060.1,479.4,861.2,585.9,113.1,1012.5,811.1,407.2,1359.9,1049.9,287.2,1003.7,862.4,614.6,1111.4,847.5,1012.5,542.6,890.4,808.9,840.0,1035.8,873.2,1335.6,1210.8,457.8,1082.0,533.2,296.1,928.0,242.9,598.1,923.1,665.5,847.5,938.9,410.6,1239.0,972.9,578.4,575.8,625.2,822.7,1007.3,196.3,923.4,540.3,793.4,661.0,1254.6,676.8,110.1,1370.1,958.8,783.3,321.8,302.0,985.2,788.3,536.1,1264.4,540.3,1015.3,657.6,1037.2,832.5,509.5,855.8,727.4,1015.3,529.0,550.7,925.7,805.6,670.2,928.4,835.9,525.8,956.0,491.1,817.6,945.8,475.7,833.0,1015.2,1080.4,881.2,1019.8,508.2,515.4,934.8,495.2,672.4,672.7,1326.5,1376.2,632.4,167.6,979.4,615.7,304.3,1200.9,948.3,1242.3,929.2,927.6,300.3,1027.2,660.4,1339.4,259.7,871.9,1269.9,750.7,424.9,462.5,1287.8,724.4,822.3,691.1,708.6,918.1,792.7,1003.2,489.9,481.4,337.3,772.7,788.5,794.0,1011.0
8,592.0,576.7,796.5,1614.4,1516.4,1427.3,1267.9,581.8,0.0,734.8,861.8,938.2,1323.3,861.0,1472.3,475.2,914.9,215.4,746.7,880.1,856.3,1724.8,1037.7,344.2,1211.9,197.4,694.9,787.0,229.2,989.1,1633.8,723.2,869.0,1517.5,535.7,1019.3,1052.5,520.7,787.0,535.6,1472.3,925.0,785.6,1549.6,814.3,1721.0,1724.6,413.8,678.9,1062.3,853.1,1441.8,824.8,185.2,1436.9,507.3,1198.2,880.1,727.4,1512.8,1074.9,204.9,980.5,43.3,240.9,1521.1,778.2,864.5,913.9,466.6,1242.8,1235.6,95.0,692.0,1686.5,899.9,456.5,310.2,883.9,926.3,863.1,1117.9,881.3,913.9,688.5,954.6,1563.4,1183.3,806.5,887.5,1309.2,688.5,1000.9,374.9,900.1,751.0,512.0,1442.2,1186.7,399.8,897.2,1020.2,235.8,886.9,431.7,1346.8,989.6,753.7,1395.1,960.9,1037.3,410.1,1448.6,86.7,644.6,1254.5,1600.4,1650.1,604.6,749.4,920.5,33.9,886.1,1140.6,889.4,1756.2,1279.9,868.7,438.0,977.0,502.2,1613.2,841.5,1023.6,805.9,517.5,853.3,320.8,904.7,1075.1,974.1,462.5,957.6,1431.9,466.0,977.6,787.0,909.8,919.1,1305.4,1370.4,735.1,1524.9
9,1227.3,844.5,728.1,1243.3,905.2,816.2,656.7,153.0,734.8,0.0,906.7,470.1,875.3,181.9,793.1,757.7,790.2,720.9,963.9,924.9,330.7,1234.5,962.8,632.4,763.9,738.9,61.2,1170.8,964.0,309.9,1262.6,1210.1,189.9,906.4,1015.4,517.3,1269.7,1000.5,1170.8,477.2,793.1,711.6,848.7,938.5,914.3,1238.3,1113.5,574.6,1242.1,435.9,198.7,830.7,145.6,751.1,825.8,818.5,750.2,924.9,313.3,1141.6,875.6,731.3,478.5,778.1,975.7,910.0,99.0,909.4,443.0,946.3,563.7,1157.3,829.8,114.9,1272.8,999.9,936.2,474.7,240.4,1143.5,691.0,438.8,1422.8,443.0,1175.4,560.3,939.9,735.2,412.2,758.5,630.1,1175.4,431.7,703.6,828.4,758.0,823.2,831.1,738.6,678.7,997.2,393.8,970.6,931.8,544.6,735.7,917.9,1240.6,783.9,1178.2,410.9,668.4,837.5,648.1,586.6,575.4,1229.2,1278.9,651.6,199.3,965.4,768.7,242.6,1359.3,934.2,1145.0,831.9,913.6,453.2,929.9,813.4,1242.1,162.4,774.6,1430.0,903.7,327.6,615.5,1446.2,627.1,725.0,844.1,611.3,820.8,945.7,905.9,392.6,384.1,240.0,675.4,691.2,909.8,913.7
