,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.0,1261.3,836.4,1503.1,2151.3,2216.8,1713.7,960.3,641.8,1219.7,1792.4,1036.4,1573.4,1592.0,942.8,733.9,959.9,1497.1,1517.9,1680.0,1306.1,1195.8,2094.0
1,1275.8,0.0,1027.0,1051.3,1699.5,1221.3,1178.3,743.5,638.2,671.3,1340.6,633.1,1038.0,1140.2,318.5,617.3,903.5,1045.3,654.0,864.9,854.3,419.9,1642.2
2,855.2,1054.5,0.0,1762.7,1889.4,1380.3,877.3,453.3,1132.0,383.2,2052.0,990.6,737.0,1851.6,1029.9,1224.2,123.5,1756.7,1061.8,1272.7,1565.7,739.7,1793.0
3,1511.7,1072.7,1756.6,0.0,648.2,1312.7,1067.4,1473.1,874.2,1400.9,289.3,1215.7,1089.2,829.9,754.2,1156.9,1633.1,735.0,856.0,458.9,305.9,1223.8,590.9
4,2226.0,1787.0,2470.8,714.3,0.0,1439.5,1610.0,2187.4,1588.5,2115.1,519.1,1930.0,1631.8,1121.4,1468.5,1871.2,2347.4,1026.5,1570.3,1173.2,1020.2,1938.0,717.8
5,2234.5,1221.3,1379.3,1012.6,818.1,0.0,399.6,1209.4,1754.6,788.2,1117.5,1395.6,421.5,1419.8,1434.8,1669.8,1255.8,1324.9,872.1,779.1,1143.5,994.6,721.8
6,1704.9,1178.3,849.7,960.5,988.6,399.6,0.0,928.2,1473.4,507.0,1003.6,1114.4,140.3,1367.7,1153.7,1388.6,726.3,1272.8,819.9,727.0,1091.3,863.5,892.2
7,979.0,743.5,453.3,1451.7,2099.9,1209.4,928.2,0.0,1038.6,421.2,1741.0,679.7,788.0,1540.6,718.9,953.9,576.8,1445.7,750.9,961.8,1254.7,428.8,2042.6
8,637.5,619.5,1153.8,861.3,1509.5,1735.8,1454.6,1019.9,0.0,947.6,1150.6,762.5,1314.3,950.2,301.0,282.7,1277.2,855.3,1092.6,1038.2,664.3,770.5,1452.2
9,1210.9,671.3,355.7,1379.4,2027.6,788.2,507.0,421.2,966.4,0.0,1668.7,607.4,366.7,1468.3,646.6,881.6,232.2,1373.4,678.6,889.5,1182.4,356.5,1970.3
10,1983.6,1544.6,2228.4,771.6,1127.7,1792.2,1839.0,1945.0,1346.1,1872.7,0.0,1687.6,1860.8,651.8,1226.1,1628.8,2105.0,556.9,1627.6,1230.5,1077.5,1695.6,1070.4
11,1032.1,633.1,963.1,1194.3,1842.5,1395.6,1114.4,679.7,585.1,607.4,1483.6,0.0,974.1,1283.2,461.5,410.8,839.6,1188.3,752.4,963.3,997.3,430.3,1785.2
12,1564.6,1038.0,709.5,982.4,1010.4,421.5,140.3,788.0,1333.1,366.7,1025.5,974.1,0.0,1389.5,1013.4,1248.3,586.0,1294.6,841.8,748.8,1113.2,723.2,914.1
13,1588.5,1149.5,1833.4,653.3,1517.6,1707.0,1654.8,1549.9,951.0,1477.7,1158.7,1292.5,1844.4,0.0,831.0,1233.7,1709.9,94.9,1443.5,1046.4,672.4,1300.6,1460.3
14,957.2,318.5,1002.4,732.8,1381.0,1434.8,1153.7,718.9,319.7,646.6,1022.1,461.5,1013.4,821.7,0.0,445.7,878.9,726.8,791.6,909.8,535.8,469.6,1323.7
15,729.7,617.3,1245.9,1144.0,1792.2,1669.8,1388.6,953.9,282.7,881.6,1433.3,410.8,1248.3,1232.9,445.7,0.0,1113.8,1138.0,1026.6,1321.0,947.0,704.5,1734.9
16,978.7,931.0,123.5,1639.2,1765.9,1256.9,753.8,576.8,1255.5,259.8,1928.5,867.2,613.5,1728.1,906.4,1347.6,0.0,1633.2,938.3,1149.2,1442.2,616.2,1669.6
17,1493.6,1054.7,1738.5,558.4,1422.7,1612.1,1560.0,1455.0,856.1,1382.8,1063.8,1197.6,1749.5,94.9,736.1,1138.8,1615.0,0.0,1348.6,951.5,577.5,1205.7,1365.4
18,1536.6,654.0,1034.3,856.0,1248.7,872.1,819.9,750.9,1111.4,678.6,889.8,752.4,841.8,1404.0,791.6,1026.6,910.8,1309.1,0.0,515.6,879.9,427.2,1191.4
19,1688.7,864.9,1245.2,458.9,1107.1,779.1,727.0,961.8,1051.2,889.5,748.2,963.3,748.8,1006.9,931.2,1333.9,1121.7,912.0,515.6,0.0,482.9,638.1,1049.8
20,1314.7,875.8,1559.6,305.9,954.1,1143.5,1091.3,1276.2,677.2,1203.9,595.2,1018.7,1113.2,632.9,557.2,959.9,1436.1,538.0,879.9,482.9,0.0,1026.8,896.8
21,1214.5,419.9,712.2,1202.3,1371.2,994.6,863.5,428.8,789.3,356.5,1012.3,430.3,723.2,1291.2,469.6,704.5,588.7,1196.3,427.2,638.1,1005.3,0.0,1313.9
22,2102.7,1663.7,1792.0,590.9,96.4,721.8,892.2,2064.1,1465.1,1280.8,395.8,1806.6,914.1,998.1,1345.1,1747.8,1668.5,903.2,1446.9,1049.8,896.8,1814.7,0.0
