,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,924.7,1172.2,2045.5,995.4,1493.6,1235.1,1570.3,1878.0,704.7,1791.4,1067.6,2121.1
1,920.5,0.0,634.4,1480.0,510.5,801.0,387.8,1159.4,1474.8,220.1,1388.2,502.5,1273.8
2,1167.9,634.4,0.0,870.5,907.7,387.3,593.7,1017.2,1332.6,777.0,1246.1,899.7,983.4
3,2323.1,1480.0,870.5,0.0,1622.1,802.2,1271.5,1237.7,982.1,1622.7,1038.1,1559.8,498.5
4,1007.4,510.5,907.7,1622.1,0.0,997.3,514.0,782.6,1090.3,653.1,1003.8,72.3,1415.9
5,1620.8,777.7,387.3,802.2,997.3,0.0,569.2,823.5,1079.7,920.4,1135.6,935.0,596.1
6,1230.8,387.8,579.2,1257.0,514.0,578.0,0.0,1000.6,1316.1,530.4,1229.5,451.7,1050.9
7,1582.3,1159.4,1017.2,1237.7,782.6,823.5,1000.6,0.0,349.1,1302.0,262.6,804.7,739.2
8,1890.1,1474.8,1332.6,982.1,1090.3,1079.7,1316.1,349.1,0.0,1617.4,128.2,1112.4,483.6
9,700.4,220.1,777.0,1622.7,653.1,943.6,530.4,1302.0,1617.4,0.0,1530.9,645.1,1416.5
10,1803.5,1388.2,1246.1,1038.1,1003.8,1052.4,1229.5,262.6,128.2,1530.9,0.0,1025.8,539.6
11,1079.7,502.5,899.7,1559.8,72.3,935.0,451.7,821.4,1136.8,645.1,1050.2,0.0,1353.6
12,2116.9,1273.8,983.4,498.5,1415.9,596.1,1065.3,739.2,483.6,1416.5,539.6,1353.6,0.0
