,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,1119.3,1544.9,1117.4,1708.9,2111.5,1325.1,1196.6,1437.9,2056.0,1767.6,999.1,2085.4
1,1119.3,0.0,503.1,383.1,666.6,1294.0,827.6,205.9,396.1,1079.2,937.7,120.2,1255.4
2,1544.9,503.1,0.0,547.9,434.6,958.1,558.1,576.8,197.7,997.0,601.8,600.8,919.5
3,1117.4,383.1,547.9,0.0,740.8,1063.2,486.1,177.2,379.8,1224.3,706.9,462.3,1024.6
4,1708.9,666.6,434.6,740.8,0.0,690.3,640.6,759.2,511.6,851.5,334.1,764.8,651.8
5,2111.5,1294.0,958.1,1063.2,690.3,0.0,875.9,1224.7,974.3,515.3,356.3,1392.2,315.6
6,1325.1,827.6,558.1,486.1,640.6,875.9,0.0,662.3,497.8,1124.1,606.7,920.5,924.4
7,1196.6,205.9,576.8,177.2,759.2,1224.7,662.3,0.0,456.1,1285.1,868.4,285.1,1186.1
8,1437.9,396.1,197.7,379.8,511.6,974.3,497.8,456.2,0.0,1074.0,618.0,493.8,935.8
9,2056.0,1079.2,997.0,1224.3,851.5,515.3,1124.1,1285.1,1074.0,0.0,517.4,1089.4,199.7
10,1767.6,937.7,601.8,706.9,334.1,356.3,606.7,868.4,618.0,517.4,0.0,1035.9,317.7
11,999.1,120.2,600.8,462.3,764.8,1392.2,920.5,285.1,493.8,1089.4,1035.9,0.0,1289.1
12,2085.4,1255.4,919.5,1024.6,651.8,315.6,924.4,1186.1,935.8,199.7,317.7,1289.1,0.0
