,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.0,1009.1,1222.2,1218.0,997.5,1511.8,993.1,1122.5,896.4,636.3,1148.8,808.0,1102.7,1303.9,810.2,1456.1,1387.1,966.9,1263.6,361.4,848.3,874.0,1039.9,649.2,1462.1,576.8,420.4,1183.6,828.4,1548.3,932.6,721.3,1513.9
1,1009.1,0.0,566.7,277.6,718.8,571.4,214.8,113.4,299.7,509.3,195.9,267.8,292.1,363.5,601.4,643.8,574.8,103.2,344.8,671.1,354.5,258.2,526.2,776.2,521.7,643.0,616.2,373.0,458.2,607.9,207.6,404.7,573.5
2,1222.2,566.7,0.0,630.5,374.9,644.7,398.5,522.1,789.2,639.9,674.8,737.1,320.2,713.9,515.4,724.9,827.5,621.0,531.3,1143.9,428.5,672.5,182.3,586.8,670.4,773.6,1117.1,193.7,575.8,525.6,444.7,522.3,421.3
3,1218.0,277.6,630.5,0.0,782.6,293.8,384.0,303.2,367.2,783.5,143.5,490.2,335.5,85.9,875.6,399.6,406.6,263.6,149.6,880.0,624.7,530.0,590.0,994.5,244.1,917.2,797.6,436.8,732.4,330.3,430.2,678.9,295.9
4,997.5,718.8,374.9,782.6,0.0,1004.1,550.6,674.2,941.3,384.2,826.9,600.8,472.3,868.5,215.7,1084.3,1164.9,773.1,683.4,912.4,461.6,555.2,192.6,362.1,1026.7,517.9,885.6,345.8,441.7,885.0,570.3,334.6,780.7
5,1511.8,571.4,644.7,293.8,1004.1,0.0,677.8,597.0,661.0,1077.3,437.3,784.0,629.3,290.5,1144.6,397.3,499.9,557.4,443.4,1173.8,918.5,823.8,811.5,1216.0,114.3,1211.0,1091.4,730.6,1026.2,183.1,724.0,972.7,223.4
6,993.1,214.8,398.5,384.0,550.6,677.8,0.0,189.7,456.8,413.8,342.4,349.4,123.9,469.9,505.9,783.6,721.3,269.1,284.8,805.9,255.3,284.2,358.0,680.7,628.1,547.5,779.1,204.8,362.7,714.3,60.8,309.2,679.9
7,1122.5,113.4,522.1,303.2,674.2,597.0,189.7,0.0,335.9,603.5,221.5,381.2,247.5,389.1,695.6,669.4,600.4,167.7,370.4,784.5,445.0,371.6,481.6,870.4,547.3,737.2,729.6,328.4,552.4,633.5,250.5,498.9,599.1
8,896.4,299.7,789.2,367.2,941.3,661.0,456.8,335.9,0.0,762.4,315.7,398.7,514.6,453.1,854.5,605.3,536.3,243.3,434.4,558.4,607.6,443.7,748.7,1029.3,611.3,896.1,476.0,595.5,711.3,697.5,460.7,657.8,663.1
9,636.3,509.3,639.9,783.5,384.2,1077.3,413.8,603.5,762.4,0.0,705.2,383.8,523.4,869.4,259.3,1153.1,1084.1,565.9,684.3,622.7,244.6,338.2,543.3,326.5,1027.6,133.7,595.9,604.3,224.7,1113.8,353.3,117.6,1045.7
10,1148.8,195.9,674.8,143.5,826.9,437.3,342.4,221.5,315.7,705.2,0.0,408.5,396.6,229.4,797.3,543.1,507.4,181.9,210.7,810.8,550.4,448.3,634.3,972.1,387.6,838.9,743.8,481.1,654.1,473.8,403.2,600.6,439.4
11,808.0,267.8,737.1,490.2,600.8,784.0,349.4,381.2,398.7,383.8,408.5,0.0,472.3,576.1,475.9,817.0,748.0,226.6,557.4,470.0,352.6,84.6,696.6,650.7,734.3,517.5,437.1,553.2,332.7,820.5,302.5,279.2,786.1
12,1102.7,292.1,320.2,335.5,472.3,629.3,123.9,247.5,514.6,523.4,396.6,472.3,0.0,421.4,612.8,735.1,717.8,346.4,236.3,924.6,364.6,407.1,279.7,684.2,579.6,657.1,897.8,126.5,472.3,665.8,170.1,418.8,631.4
13,1303.9,363.5,713.9,85.9,868.5,290.5,469.9,389.1,453.1,869.4,229.4,576.1,421.4,0.0,961.5,396.3,426.5,349.5,235.5,965.9,710.6,615.9,675.9,1080.4,247.2,1003.1,883.5,522.7,818.3,327.0,516.1,764.8,292.6
14,810.2,601.4,515.4,875.6,215.7,1144.6,505.9,695.6,854.5,259.3,797.3,475.9,612.8,961.5,0.0,1224.8,1176.2,658.0,776.4,787.5,336.7,430.3,333.1,174.8,1119.7,393.0,760.7,486.3,316.8,1025.5,445.4,209.7,921.2
15,1456.1,643.8,724.9,399.6,1084.3,397.3,783.6,669.4,605.3,1153.1,543.1,817.0,735.1,396.3,1224.8,0.0,102.6,590.4,549.2,1118.1,998.3,856.8,891.7,1296.2,423.0,1286.8,1035.7,836.4,1102.0,379.7,829.8,1048.5,303.6
16,1387.1,574.8,827.5,406.6,1164.9,499.9,721.3,600.4,536.3,1084.1,507.4,748.0,717.8,426.5,1176.2,102.6,0.0,521.4,531.9,1049.1,929.3,787.8,972.3,1351.0,525.6,1217.8,966.7,819.1,1033.0,482.3,782.1,979.5,406.2
17,966.9,103.2,621.0,263.6,773.1,557.4,269.1,167.7,243.3,565.9,181.9,226.6,346.4,349.5,658.0,590.4,521.4,0.0,330.8,628.9,411.1,266.4,580.5,832.8,507.7,699.6,561.9,427.3,514.8,593.9,264.2,461.3,559.5
18,1263.6,344.8,531.3,149.6,683.4,443.4,284.8,370.4,434.4,684.3,210.7,557.4,236.3,235.5,776.4,549.2,531.9,330.8,0.0,947.2,525.5,568.0,490.8,895.3,393.7,818.0,864.8,337.6,633.2,479.9,331.0,579.7,445.5
19,361.4,671.1,1143.9,880.0,912.4,1173.8,805.9,784.5,558.4,622.7,810.8,470.0,924.6,965.9,787.5,1118.1,1049.1,628.9,947.2,0.0,748.6,536.0,1043.4,652.7,1124.1,580.3,82.4,1005.5,728.7,1210.3,754.5,621.6,1175.9
