,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,0.0,1489.1,2089.3,2006.4,1270.4,1445.7,861.6,1693.7,1123.8,1253.1,1418.5,1347.1,582.8,1458.1,1444.6,979.3,988.8,996.2,1771.9,567.9,1283.2,1249.9,1235.4,1212.6,1596.4,1376.5,1201.4,1693.7,1761.5,2016.5,1078.0,1527.5,2110.1,966.5,2085.7,1264.5,1480.8,686.5,1906.6,1222.2,986.8,1011.9,1095.6,1243.3,1514.6,2115.0,1028.0,1463.9,2118.4,1121.8,1985.6,1067.6,2121.1
1,1639.6,0.0,655.3,572.4,1011.6,773.3,1204.7,259.7,1004.9,994.4,413.1,785.1,1133.7,285.6,650.3,1304.9,655.1,991.0,1106.4,1076.0,397.2,991.1,317.1,1078.8,837.2,1350.2,442.5,259.7,414.0,582.6,790.1,561.7,676.1,819.6,890.8,1289.9,78.3,802.6,1199.4,854.3,675.5,1006.7,1338.0,984.6,236.8,681.1,616.7,291.4,684.4,1147.2,990.9,1008.6,687.2
2,2085.1,655.3,0.0,26.8,1324.9,1086.5,1517.9,476.4,1368.4,1307.6,981.7,1098.3,1579.1,676.4,963.5,1618.1,1100.5,1436.4,669.9,1521.5,842.6,1304.4,885.8,1392.1,939.1,1358.4,887.9,476.4,630.7,277.0,1235.5,896.8,182.4,1265.1,377.4,1450.5,577.1,1421.2,686.0,1317.9,1120.9,1452.2,1346.3,1297.8,610.0,187.4,1062.1,682.2,299.0,1460.4,477.6,1321.8,173.8
3,2002.1,572.4,26.8,0.0,1241.9,1003.5,1435.0,393.4,1285.5,1224.7,898.8,1015.4,1496.2,593.5,880.6,1535.2,1017.6,1353.5,673.7,1438.5,759.7,1221.4,802.8,1309.1,942.8,1362.2,805.0,393.4,547.8,375.0,1152.6,813.9,209.2,1182.1,381.2,1454.2,494.1,1338.3,689.8,1235.0,1038.0,1369.2,1350.0,1214.8,527.0,214.1,979.2,599.2,532.2,1377.5,481.3,1238.9,177.6
4,1282.5,1011.6,1324.9,1241.9,0.0,339.1,408.8,898.8,447.2,81.6,1161.9,240.5,1075.7,726.0,390.0,509.0,642.9,664.7,1033.8,1018.0,734.8,20.5,1066.0,157.7,764.6,606.0,697.3,898.8,706.9,1252.1,585.4,472.9,1345.6,614.9,1347.6,494.0,950.9,977.1,1168.5,396.6,676.8,661.7,598.2,27.1,827.6,1350.6,569.6,720.2,1354.0,351.3,1247.5,202.8,1356.7
5,1457.8,773.3,1086.5,1003.5,339.1,0.0,584.1,660.5,434.7,257.5,923.6,144.9,1063.2,487.6,151.6,684.3,630.4,652.2,795.4,1005.5,430.8,318.6,827.6,458.3,526.2,781.3,684.8,660.5,468.5,1013.7,572.9,191.1,1107.3,602.4,1109.2,669.3,712.5,969.0,930.1,384.1,668.8,649.1,773.5,312.0,589.2,1112.2,557.1,481.8,1115.6,526.6,1009.1,388.0,1118.3
6,873.7,1204.7,1517.9,1435.0,408.8,584.1,0.0,1091.9,352.9,391.5,1239.4,485.6,981.4,919.0,583.0,117.7,548.6,364.8,1118.0,923.7,842.9,388.3,1104.6,351.0,957.6,514.9,761.2,1091.9,899.9,1445.1,491.1,665.9,1538.7,520.6,1431.8,402.9,1143.9,887.3,1252.7,389.8,587.0,318.3,507.1,381.7,1020.7,1543.6,587.7,913.3,1547.0,260.2,1331.7,206.0,1549.7
7,1689.4,259.7,476.4,393.4,898.8,660.5,1091.9,0.0,942.4,881.6,586.1,672.3,1183.5,280.7,537.5,1192.1,704.9,1159.9,896.0,1125.8,446.9,878.3,490.1,966.0,626.9,1139.8,492.2,0.0,204.7,403.6,839.8,470.8,497.1,869.4,711.8,1177.1,181.4,1025.5,1020.4,891.9,725.3,1156.9,1127.7,871.8,214.3,502.1,666.5,286.5,505.4,1034.4,811.9,895.8,508.2
8,1119.6,1004.9,1368.4,1285.5,447.2,434.7,352.9,942.4,0.0,429.9,1040.6,336.1,613.6,769.6,433.6,453.1,349.8,196.0,1077.4,556.0,644.2,426.7,905.9,389.4,808.2,550.1,562.4,942.4,750.5,1295.6,292.3,516.5,1389.2,305.9,1391.2,438.1,994.5,717.4,1212.1,191.1,388.3,149.5,542.3,420.1,871.2,1394.1,389.0,763.8,1397.5,295.4,1291.0,211.1,1400.2
9,1265.2,994.4,1307.6,1224.7,81.6,257.5,391.5,881.6,429.9,0.0,1144.7,158.9,1058.4,708.7,372.7,491.8,625.6,647.4,1016.5,1000.7,717.6,61.1,1048.7,140.4,747.3,588.7,680.0,881.6,689.6,1234.8,568.1,455.6,1328.4,597.6,1330.3,476.8,933.6,959.8,1151.2,379.4,659.5,644.4,581.0,54.5,810.3,1333.3,552.4,703.0,1336.7,334.1,1230.2,185.5,1339.4
10,1414.2,413.1,981.7,898.8,1161.9,923.6,1239.4,586.1,1040.6,1144.7,0.0,935.4,835.7,436.0,800.6,1339.6,690.8,1026.7,1256.7,893.3,466.4,1141.4,246.4,1117.7,987.5,1500.5,478.2,586.1,740.4,908.9,825.8,712.0,1002.5,855.3,1217.2,1324.6,404.7,732.0,1391.4,890.0,711.2,1042.5,1488.4,1134.9,492.4,1007.4,652.4,441.7,1010.8,1181.9,1317.3,1047.4,1013.5
11,1359.2,785.1,1098.3,1015.4,240.5,144.9,485.6,672.3,336.1,158.9,935.4,0.0,964.6,499.4,163.4,585.8,531.8,553.6,807.2,906.9,307.0,220.0,839.4,359.7,538.0,682.7,586.2,672.3,480.3,1025.5,474.3,246.3,1119.1,503.8,1121.0,570.8,724.3,870.5,941.9,285.6,570.2,550.6,675.0,213.4,601.1,1124.0,458.6,493.7,1127.4,428.1,1020.9,289.4,1130.1
