,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,0.0,1229.2,1499.6,1930.7,1316.4,1842.9,1150.9,2013.1,700.4,1050.0,911.8,1301.7,823.5,1288.6,1700.4,733.8,2172.2,1200.1,1453.2,1865.4,1047.4,760.1,919.0,1167.6,1328.0,1445.4,725.9,1135.2,1197.0,1831.5,1794.0,1516.4,1301.6,2181.0,1316.4,919.6,1188.0,893.8,1229.0,1949.9,1851.0,1140.8,1177.0,1434.1,1973.3,2013.1,687.0,1158.6,1762.6,1143.3,1130.4,999.1,2085.4
1,1229.2,0.0,732.8,1029.9,363.0,830.9,362.2,1001.1,633.3,347.8,332.6,405.1,514.6,59.1,597.0,718.3,1160.1,643.0,613.3,964.6,318.3,573.6,447.5,240.6,673.9,401.9,607.8,540.0,47.4,819.5,782.0,413.1,405.0,1169.0,363.0,821.5,687.5,422.2,332.4,1049.1,1016.9,534.4,676.5,330.8,1072.6,1112.4,669.7,516.5,928.5,354.7,341.7,285.1,1073.4
2,1499.6,732.8,0.0,1248.0,960.9,680.5,1039.9,850.7,1021.2,671.7,1050.5,1070.6,898.1,673.7,698.4,1451.1,1009.7,346.2,313.1,1294.1,976.1,961.5,1131.7,909.6,261.4,359.2,995.7,1272.8,765.3,669.1,631.6,730.0,1070.6,1018.6,960.9,1554.3,390.7,1106.5,1001.4,1250.1,457.6,1267.2,379.8,647.6,1226.7,1186.9,1057.6,1249.3,369.2,1087.5,1019.4,1017.9,923.0
3,1930.7,1029.9,1248.0,0.0,749.1,788.7,925.8,624.3,1590.8,1337.6,1193.0,757.3,1474.1,1025.3,927.6,1196.9,277.8,1257.1,957.2,498.9,1286.2,1531.1,1307.9,825.9,1288.0,996.5,1565.3,969.9,1077.4,665.6,749.5,629.5,757.2,286.6,749.1,1077.0,1301.6,1282.6,781.3,356.0,901.1,975.5,1290.6,750.0,332.6,292.8,1627.2,970.7,1051.6,1033.7,905.3,964.1,325.0
4,1316.4,363.0,960.9,749.1,0.0,982.9,279.1,1153.1,944.0,670.6,546.2,191.9,827.3,358.3,628.0,768.6,1026.9,871.5,841.5,683.8,640.9,884.3,661.1,179.2,902.4,630.0,918.5,590.3,410.4,971.5,934.0,444.1,191.8,1035.8,0.0,871.8,915.9,635.8,134.5,768.3,1245.1,584.7,905.0,361.7,791.7,831.5,980.4,566.9,1151.3,386.9,258.6,317.3,1074.2
5,1842.9,830.9,680.5,788.7,982.9,0.0,1127.7,214.8,1174.0,824.4,1148.5,1092.6,1050.9,771.7,468.6,1544.3,550.4,689.5,389.7,1021.4,1128.9,1114.3,1263.4,997.4,720.5,429.0,1148.5,1366.0,863.4,183.6,91.1,653.0,1092.5,559.3,982.9,1572.6,734.0,1238.2,1035.2,790.8,641.1,1360.4,723.1,659.3,767.4,727.6,1210.4,1342.5,492.9,1180.7,1107.2,1111.1,463.7
6,1150.9,362.2,1039.9,925.8,279.1,1127.7,0.0,1297.9,778.5,540.0,380.7,264.4,661.8,366.2,772.8,603.1,1203.6,950.1,920.4,860.5,474.0,718.8,495.6,130.3,981.0,709.0,753.0,424.9,340.0,1116.3,1078.8,588.9,264.3,1212.5,279.1,706.4,994.6,470.3,191.7,945.0,1324.0,419.2,983.6,506.5,968.4,1008.2,814.9,401.4,1235.6,221.4,20.5,151.8,1250.9
7,2013.1,1001.1,850.7,624.3,1153.1,214.8,1297.9,0.0,1344.2,994.7,1318.8,1262.8,1221.1,942.0,638.9,1714.5,386.0,859.8,559.9,856.9,1299.1,1284.5,1433.7,1167.6,890.7,599.2,1318.7,1536.3,1033.6,202.4,261.3,823.2,1262.8,394.9,1153.1,1701.3,904.3,1408.4,1205.5,626.4,695.6,1530.6,893.3,829.6,603.0,563.2,1380.6,1512.8,663.1,1350.9,1277.4,1281.4,299.2
8,700.4,633.3,1021.2,1590.8,944.0,1174.0,778.5,1344.2,0.0,349.6,397.8,929.3,123.1,656.8,1191.9,660.3,1503.3,800.7,907.5,1525.4,378.9,59.7,363.1,795.2,916.4,745.0,25.5,839.1,585.8,1162.6,1125.1,1038.1,929.3,1512.1,944.0,846.1,788.6,337.8,856.6,1609.9,1305.4,833.4,777.6,955.8,1633.4,1673.2,36.4,815.6,1217.0,771.0,758.0,626.7,1416.5
9,1050.0,347.8,671.7,1337.6,670.6,824.4,540.0,994.7,349.6,0.0,436.6,690.9,226.5,348.7,842.4,857.5,1153.7,535.9,558.0,1272.2,320.2,289.9,472.8,546.7,566.8,395.5,324.1,681.0,300.4,813.0,775.5,757.2,690.8,1162.6,670.6,962.5,551.8,447.6,618.1,1356.8,955.8,675.4,540.9,674.8,1370.7,1330.9,386.0,657.5,867.4,532.5,519.5,462.9,1066.9
