,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
0,0.0,1807.2,1558.6,596.3,1697.7,1545.0,798.4,1214.5,1722.0,1093.8,1225.1,2074.8,1253.1,1154.2,1210.0,1900.4,1862.9,1268.2,769.8,2087.7,1864.1,1525.5,974.8,1408.8,2115.3,2137.7,2047.1,1839.4,2016.4,1287.0,996.2,1054.3,827.5,1192.2,2075.7,1616.9,1910.6,1300.9,2169.4,1987.0,1670.6,1065.2,1370.2,951.7,2146.2,945.9,1373.2,1092.9,1624.5,1498.7,1285.7,769.7,966.5,1690.4,846.0,1937.6,1575.7,934.2,1010.0,1386.6,1423.7,1212.6,1519.9,674.4,1261.5,1068.9,980.2,751.9,946.4,1067.7,1975.1,2115.0,1878.0,1288.3,2054.9,1012.5,1222.2,994.4,1334.1,1239.1,1572.4,1596.4,1660.6,967.8,2115.0,585.3,2110.4,1861.9,1872.0,1597.2,611.6,1713.7,1458.1,1766.2,744.4,1135.8,2025.4,1053.7,1803.4,1763.9,2026.3,1067.6,2121.1
1,2065.2,0.0,861.1,1473.2,661.9,1137.1,1508.3,1365.7,1213.1,1345.6,1543.9,599.4,1287.7,1313.8,594.4,425.0,566.6,1266.4,1772.7,847.4,388.7,601.1,1236.9,1485.0,639.8,662.3,887.9,372.8,541.0,1215.5,1416.6,1373.1,1801.9,735.1,838.0,492.6,1236.4,978.5,744.3,108.9,273.8,1485.5,1285.7,1372.1,670.8,1677.9,700.9,1273.2,838.3,539.2,963.3,1590.0,1245.2,842.4,1555.9,368.9,887.1,870.2,1072.3,1556.1,370.8,1372.2,595.4,1130.0,1296.2,1391.1,1599.2,1754.8,1265.3,1386.4,938.6,639.6,1203.8,641.9,880.1,1057.7,1298.1,1371.8,1368.7,679.9,867.7,1033.0,872.3,1586.8,639.6,1484.1,634.9,386.4,279.2,558.5,1192.7,476.6,656.6,355.8,1060.0,1233.8,909.7,1376.0,328.0,135.4,550.8,1301.9,645.7
2,1570.7,861.1,0.0,1089.9,199.2,424.8,1125.1,564.7,540.0,672.3,742.8,866.4,486.7,512.7,734.5,692.0,364.3,465.3,971.6,905.7,655.7,403.5,707.0,772.6,906.9,929.3,865.1,631.0,808.0,414.5,765.0,572.0,1029.3,689.9,893.6,549.6,728.5,445.7,987.4,778.7,686.3,815.2,484.7,741.1,937.8,965.5,380.5,599.9,125.9,497.9,460.8,788.9,715.3,200.8,1172.7,1044.1,26.5,868.8,700.0,843.8,511.2,571.2,397.9,1094.1,495.1,717.8,798.2,953.7,735.4,585.3,793.1,906.6,696.0,573.1,872.9,685.4,497.0,698.5,567.7,634.6,141.1,320.7,170.9,785.8,906.6,1100.9,902.0,653.5,663.6,475.2,1204.8,475.0,290.9,557.8,1024.1,432.7,843.3,702.7,595.0,870.4,817.9,500.9,912.7
3,592.0,1473.2,1089.9,0.0,1229.1,1454.7,202.1,933.7,1569.9,497.5,941.1,1478.5,972.3,873.3,713.2,1304.2,1207.5,671.9,748.3,1726.5,1267.9,929.2,378.5,1124.8,1519.0,1541.5,1767.1,1243.2,1420.2,1006.2,400.0,770.3,805.9,695.5,1717.2,1020.7,1758.4,704.6,1623.5,1390.8,1298.4,468.9,1089.4,355.5,1550.0,924.4,776.9,496.7,1155.8,1057.2,689.4,748.1,370.3,1047.6,249.7,1440.9,1107.1,437.5,413.8,1102.6,982.2,931.8,923.6,177.6,980.7,472.6,996.5,730.4,350.1,783.7,1823.0,1518.8,1725.9,791.5,1759.3,416.3,625.9,398.1,1053.3,742.3,1073.0,1350.6,1077.5,984.1,1518.8,10.9,1514.1,1265.6,1275.7,1000.9,114.9,1117.5,861.8,1170.0,247.6,793.3,1788.8,457.5,1207.1,1267.2,1430.0,753.5,1524.9
4,1709.8,661.9,199.2,1229.1,0.0,475.2,1264.2,703.8,590.4,811.4,882.0,667.2,625.8,651.9,898.4,492.9,165.2,604.5,1110.8,915.2,456.6,430.6,846.1,823.1,707.7,730.2,955.8,431.9,608.9,553.6,904.2,711.2,1140.0,754.5,905.9,614.2,779.0,584.8,812.2,579.5,487.1,954.4,623.8,880.3,738.6,1016.0,519.6,739.1,176.4,368.8,600.0,928.1,854.4,339.9,1311.8,844.9,225.2,933.4,839.1,894.2,544.6,710.3,425.0,1233.2,634.3,857.0,937.3,1092.9,874.5,724.5,843.5,707.5,746.4,637.7,948.0,824.6,636.2,837.7,706.8,699.2,280.2,371.1,310.0,924.9,707.5,1240.0,702.8,454.3,464.4,388.1,1344.0,275.8,430.1,358.6,1163.2,571.8,893.8,841.8,395.8,671.2,618.7,640.0,713.6
5,1557.1,1137.1,424.8,1468.7,475.2,0.0,1365.9,929.4,229.7,1051.0,527.5,1142.4,851.4,877.4,1099.3,968.0,640.3,830.1,775.2,595.4,931.8,768.2,1085.7,400.5,1058.0,831.4,554.8,907.0,1084.0,779.2,1143.8,698.3,717.5,1054.6,583.4,914.3,418.3,810.4,677.1,1054.7,962.3,1194.0,849.4,1119.9,1089.0,593.5,745.2,978.7,298.8,862.6,825.6,983.0,1094.0,565.5,1354.3,1320.1,450.8,1233.5,1064.7,471.7,875.9,935.9,762.6,1472.8,859.8,1096.6,992.3,793.1,1114.1,685.0,482.8,1057.8,385.7,937.9,562.6,1050.2,861.7,1077.2,932.4,999.3,505.8,104.1,535.6,979.9,1057.8,1479.6,1178.0,929.5,939.6,839.9,1583.5,751.0,655.6,833.8,1402.8,797.4,533.1,1081.4,871.0,1146.4,1093.9,779.4,775.7
6,794.1,1508.3,1125.1,202.1,1264.2,1489.8,0.0,968.8,1605.0,532.6,976.3,1513.7,1007.4,908.5,915.3,1339.3,1242.7,707.0,590.7,1761.6,1303.0,964.3,413.7,1159.9,1554.1,1576.6,1802.2,1278.3,1455.3,1041.3,435.1,805.5,648.4,897.6,1752.3,1055.8,1793.6,739.7,1658.6,1425.9,1333.5,504.0,1124.5,390.6,1585.1,766.8,812.0,531.8,1191.0,1092.3,724.6,590.6,405.4,1082.8,92.2,1691.3,1142.2,639.6,448.9,1137.7,1017.3,966.9,958.7,379.7,1015.8,507.8,801.2,572.9,385.2,818.8,1858.1,1553.9,1761.0,906.3,1794.4,451.4,661.1,433.2,1088.4,944.4,1108.1,1385.7,1112.6,788.8,1553.9,213.0,1549.2,1300.7,1310.8,1036.1,317.0,1152.6,896.9,1205.1,449.7,828.4,1824.0,492.6,1242.3,1517.6,1465.1,788.7,1560.0
7,1226.6,1374.2,573.1,933.7,712.3,937.8,968.8,0.0,1053.0,516.1,398.8,1379.5,142.4,158.8,1238.7,1205.1,877.4,309.1,627.6,1418.7,1168.8,907.7,550.8,582.4,1419.9,1442.4,1378.2,1144.1,1321.1,176.2,608.8,228.0,685.3,1194.1,1406.7,1053.8,1241.6,534.9,1500.4,1291.7,1199.3,659.0,259.4,584.9,1450.9,615.9,813.2,443.7,639.0,1002.1,578.1,444.9,559.0,705.0,1016.4,1557.2,590.3,837.4,543.8,560.2,1015.4,101.8,902.1,933.4,150.8,561.6,454.2,609.7,579.2,241.3,1306.2,1419.7,1209.0,907.4,1386.0,529.2,340.8,542.3,198.8,1138.8,587.0,833.8,675.1,441.7,1419.7,944.6,1415.1,1166.5,1176.6,979.4,1048.6,988.1,795.1,1070.9,863.4,140.4,1356.4,546.4,1108.1,1383.4,1330.9,146.9,1425.8
8,1734.1,1213.1,540.0,1569.9,590.4,229.7,1605.0,1044.6,0.0,1152.2,704.6,871.7,966.6,992.6,1214.5,822.7,755.5,945.3,952.2,365.7,925.9,883.4,1186.9,577.6,849.7,623.0,325.1,991.8,939.0,894.4,1244.9,875.4,894.5,1169.8,463.4,1029.5,188.6,925.6,468.7,1130.6,1077.5,1295.1,964.6,1221.1,880.6,770.5,860.4,1079.8,414.0,977.8,940.8,1160.0,1195.2,680.7,1531.3,1157.4,566.0,1348.7,1179.9,648.7,991.1,1051.1,877.8,1574.0,975.0,1197.8,1169.3,970.1,1215.3,862.0,375.5,849.5,156.0,1053.1,332.9,1165.4,976.9,1178.4,1047.6,1114.5,621.0,219.3,650.8,1156.9,849.5,1580.8,907.2,826.6,1015.6,955.1,1684.7,866.2,770.8,949.0,1504.0,912.6,303.4,1182.6,885.1,1261.6,948.8,956.4,567.4
9,1089.5,1345.6,672.3,497.5,811.4,1037.0,532.6,516.1,1152.2,0.0,523.5,1350.9,554.7,455.7,795.6,1176.6,976.6,254.3,752.3,1517.9,1140.3,801.6,228.7,707.1,1391.4,1413.9,1477.3,1115.6,1292.6,588.5,165.9,352.7,810.0,777.8,1505.9,893.1,1340.8,372.7,1495.9,1263.2,1170.8,216.1,671.7,142.0,1422.3,740.6,649.3,72.4,738.2,929.6,415.9,569.6,237.0,804.2,580.2,1528.6,689.4,519.8,286.1,684.9,854.6,514.1,796.0,675.1,563.1,118.7,578.9,734.4,255.7,366.0,1405.4,1391.2,1308.2,743.5,1485.2,288.6,208.3,99.4,635.7,824.7,686.2,933.0,774.3,566.5,1391.2,508.4,1386.5,1138.0,1148.1,873.3,612.4,989.8,734.2,1042.3,545.8,375.7,1455.6,103.6,1079.5,1354.9,1302.4,335.9,1397.3
