,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.0,1813.4,896.2,2372.1,1537.8,1632.1,1448.7,1039.3,1175.8,1589.8,1821.4,958.5,1120.9,1217.8,2060.5,1265.0,1551.3,1676.0,1981.7,919.6,1647.9,1703.1,1834.0,2341.5,1292.8,870.2,1195.8,2094.0
1,1822.1,0.0,2045.7,784.3,627.0,976.8,1328.8,1529.0,637.6,1323.4,153.0,1781.8,841.9,1339.7,392.2,1386.9,1312.3,1020.7,610.9,2069.1,737.1,1047.7,1079.1,673.2,1638.2,1265.7,1534.2,425.6
2,914.9,2051.8,0.0,1514.4,1363.2,1154.8,971.4,972.3,1414.2,732.1,2059.7,511.3,1359.3,989.8,2030.7,1037.0,1074.0,1198.7,2249.4,23.4,1260.8,1225.7,976.3,2058.4,435.1,999.0,718.5,1771.8
3,2389.8,784.3,1513.4,0.0,1046.2,608.4,1189.8,1553.8,1276.7,560.4,783.4,1363.0,1481.0,1333.2,617.5,1380.4,1173.3,713.5,836.3,1536.8,943.8,811.1,316.2,645.3,1016.6,1580.5,1149.9,358.6
4,1546.5,627.0,1335.7,1266.2,0.0,437.7,789.8,1253.4,362.0,844.2,635.0,1071.8,566.2,933.2,874.1,980.4,773.3,481.7,1092.9,1359.1,198.1,508.7,730.0,1155.1,928.1,990.1,749.8,907.6
5,1896.2,623.7,1127.3,608.4,437.7,0.0,581.4,869.5,711.7,406.5,631.7,863.3,915.9,724.8,870.8,772.0,564.9,105.0,1089.6,1150.7,335.3,202.7,292.2,1151.8,719.7,896.3,541.4,904.3
6,1467.5,1073.3,943.9,1189.8,789.8,581.4,0.0,686.2,1128.1,987.9,1081.3,680.0,1073.2,541.4,1320.4,588.6,195.9,625.3,1539.2,967.3,687.4,652.3,873.6,1601.4,536.3,712.9,358.0,1353.9
7,1035.0,1507.6,944.7,1553.8,1231.9,869.5,686.2,0.0,870.0,993.4,1515.5,680.8,815.1,592.6,1754.7,639.8,788.8,913.5,1675.8,968.2,975.5,940.5,1237.6,2035.7,537.2,260.3,433.2,1788.1
8,1184.5,637.6,1408.1,1276.7,362.0,711.7,1149.5,891.4,0.0,1118.2,645.5,1144.2,204.3,702.1,884.7,749.3,1047.2,755.6,1103.4,1431.5,472.0,782.6,1003.9,1165.7,1000.5,628.1,896.6,918.1
9,1581.0,1030.2,704.5,560.4,844.2,406.5,992.5,993.4,1118.2,0.0,1038.2,802.5,1380.4,1010.9,1156.6,1058.1,1095.1,511.6,1375.4,727.9,741.8,609.2,244.3,1184.4,456.2,1020.1,739.5,897.7
10,1954.6,1174.7,2178.2,1400.0,1059.3,1409.0,1919.6,1661.5,908.2,1815.5,0.0,1914.2,974.3,1472.1,782.5,1519.4,1744.5,1452.9,563.7,2201.6,1169.3,1479.9,1694.9,1289.0,1770.6,1398.2,1666.6,1041.4
11,977.3,1760.4,511.3,1363.0,1071.8,863.3,680.0,680.8,1122.8,802.5,1768.3,0.0,1067.9,698.3,2007.4,745.5,782.6,907.3,1928.6,534.7,969.3,934.3,1046.8,2288.5,346.4,707.6,427.0,2040.9
12,1116.7,828.9,1340.3,1468.1,553.3,903.0,1081.7,823.6,191.3,1388.9,836.8,1076.3,0.0,634.2,1076.0,681.5,1184.3,946.9,997.1,1363.7,663.3,973.9,1195.2,1357.0,932.7,560.3,828.7,1109.4
13,1232.3,1318.3,962.3,1333.2,1042.6,724.8,541.4,592.6,680.7,1010.9,1326.2,698.3,625.8,0.0,1565.3,47.2,644.0,768.7,1486.5,985.7,830.7,795.7,1017.0,1846.4,554.7,329.3,376.4,1598.8
14,2069.2,392.2,2029.6,617.5,874.1,1223.8,1575.9,1776.1,884.7,1156.6,391.3,2028.9,1088.9,1586.8,0.0,1634.0,1559.4,1267.8,218.8,2053.0,984.2,1294.8,912.3,506.5,1885.2,1512.8,1781.2,258.9
15,1279.5,1365.5,1009.5,1380.4,1089.8,772.0,588.6,639.8,727.9,1058.1,1373.4,745.5,673.0,47.2,1612.5,0.0,691.2,815.9,1533.7,1032.9,878.0,842.9,1064.2,1893.6,601.9,376.5,423.6,1646.0
16,1570.1,1056.9,1046.5,1173.3,773.3,564.9,195.9,788.8,1047.2,971.4,1064.8,782.6,1175.8,644.0,1303.9,691.2,0.0,608.8,1522.7,1069.9,670.9,635.8,857.1,1585.0,638.9,815.5,460.7,1337.4
17,1940.1,667.7,1171.2,713.5,481.7,105.0,625.3,913.5,755.6,511.6,675.6,907.3,959.8,768.7,914.7,815.9,608.8,0.0,1133.5,1194.6,379.2,246.6,397.3,1195.8,763.6,940.2,585.4,948.2
18,1978.3,610.9,2248.4,836.3,1092.9,1442.6,1794.6,1685.1,1103.4,1375.4,610.1,1937.9,998.0,1495.8,218.8,1543.0,1778.2,1486.5,0.0,2271.8,1202.9,1513.5,1131.1,725.2,1794.3,1421.8,1690.3,477.6
19,938.3,2075.2,23.4,1537.8,1386.6,1178.2,994.8,995.7,1437.6,755.5,2083.1,534.7,1382.7,1013.2,2054.1,1060.4,1097.4,1222.1,2272.8,0.0,1284.2,1249.2,999.7,2081.9,458.5,1022.4,741.9,1795.2
