,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,420.4,1454.0,666.0,970.0,1256.5,1138.1,1433.1,602.8,1341.7,837.9,721.3,1513.9
1,420.4,0.0,1033.6,717.1,974.8,836.1,769.5,1012.7,506.2,921.3,711.4,594.8,1093.5
2,1454.0,1033.6,0.0,1144.9,793.5,289.9,580.8,137.7,1096.1,358.6,977.9,914.9,135.5
3,666.0,717.1,1144.9,0.0,351.4,1049.8,842.5,1225.5,309.8,1148.7,517.9,401.3,1009.4
4,970.0,974.8,793.5,351.4,0.0,698.4,506.8,874.1,563.1,797.3,540.4,423.8,658.0
5,1256.5,836.1,289.9,1049.8,698.4,0.0,383.3,269.0,898.6,98.9,780.4,717.4,349.8
6,1138.1,769.5,580.8,842.5,506.8,383.3,0.0,559.9,635.4,482.2,517.2,454.2,640.7
7,1433.1,1012.7,137.7,1225.5,874.1,269.0,559.9,0.0,1075.2,344.1,957.0,894.0,216.1
8,602.8,506.2,1096.1,309.8,563.1,898.6,635.4,1075.2,0.0,997.5,323.9,207.3,1135.4
9,1341.7,921.3,358.6,1148.7,797.3,98.9,482.2,344.1,997.5,0.0,879.3,816.3,418.5
10,837.9,711.4,977.9,517.9,540.4,780.4,517.2,957.0,323.9,879.3,0.0,116.6,991.1
11,721.3,594.8,914.9,401.3,423.8,717.4,454.2,894.0,207.3,816.3,116.6,0.0,928.1
12,1513.9,1093.5,135.5,1009.4,658.0,349.8,640.7,216.1,1135.4,418.5,991.1,928.1,0.0
