,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,908.7,1541.2,890.3,1047.4,1947.5,1822.0,1378.3,2006.4,2005.8,1314.5,999.1,2085.4
1,908.7,0.0,841.9,83.0,198.2,1314.3,1232.2,679.1,1416.6,1560.3,834.0,333.4,1495.6
2,1541.2,841.9,0.0,758.9,723.1,987.0,553.5,162.9,737.9,915.2,799.5,699.3,816.8
3,890.3,83.0,758.9,0.0,221.8,1231.3,1149.2,596.0,1333.6,1510.9,750.9,250.4,1412.5
4,1047.4,198.2,723.1,221.8,0.0,1303.0,1108.0,560.2,1292.4,1415.1,822.7,322.1,1371.4
5,1947.5,1314.3,987.0,1231.3,1303.0,0.0,639.3,1062.9,646.5,729.5,633.0,980.9,308.2
6,1822.0,1232.2,553.5,1149.2,1108.0,639.3,0.0,553.2,205.2,475.3,1090.9,1090.3,331.1
7,1378.3,679.1,162.9,596.0,560.2,1062.9,553.2,0.0,737.6,914.9,875.4,542.0,816.5
8,2006.4,1416.6,737.9,1333.6,1292.4,646.5,205.2,737.6,0.0,579.9,1275.3,1274.7,338.3
9,2005.8,1560.3,915.2,1510.9,1415.1,729.5,475.3,914.9,579.9,0.0,1362.5,1456.8,421.2
10,1314.5,836.6,799.5,750.9,822.7,633.0,1090.9,875.4,1275.3,1362.5,0.0,561.2,941.2
11,999.1,333.4,699.3,250.4,322.1,980.9,1090.3,542.0,1274.7,1456.8,561.2,0.0,1289.1
12,2085.4,1495.6,816.8,1412.5,1371.4,308.2,331.1,816.5,338.3,421.2,941.2,1289.1,0.0
