,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.0,1784.6,2187.8,820.6,1503.1,1262.6,1472.2,1784.7,1672.1,627.7,1115.8,2243.7,1958.2,808.1,1491.0,1281.0,1123.6,1834.0,916.9,1702.3,1715.9,1592.0,1306.9,1407.2,827.8,716.6,1446.7,1767.5,1644.2,870.7,1297.9,2361.5,1268.4,1240.8,756.1,781.5,1683.4,2316.0,1630.6,1660.1,1300.9,1613.2,2319.4,1762.5,1557.8,1416.9,1195.8,2094.0
1,1793.3,0.0,702.4,860.5,563.4,818.5,532.6,741.6,208.1,1332.2,807.8,758.3,1202.7,1225.9,672.6,800.5,606.0,570.5,764.2,178.0,106.7,1111.4,708.1,713.8,987.6,1172.5,507.0,413.7,236.0,990.6,809.3,1318.4,669.6,752.1,1021.1,1033.9,640.3,1272.9,328.4,306.2,380.2,259.4,1276.2,1007.0,354.8,664.9,590.4,1050.8
2,2205.5,702.4,0.0,1126.8,983.6,1193.6,1014.5,1002.0,735.1,1638.7,1334.9,55.9,1303.4,1378.7,1047.7,1327.5,1043.4,131.9,1030.5,705.0,633.7,1390.8,1083.2,1089.0,1438.6,1623.5,1034.1,691.2,763.1,1441.5,1260.3,999.4,1044.7,1203.1,1599.4,1484.9,917.8,953.9,855.4,396.2,755.3,537.0,957.2,1284.6,881.8,1040.1,965.5,692.7
3,839.4,860.5,1126.8,0.0,1398.1,691.3,1367.3,1679.8,893.2,1102.1,1010.8,1182.7,1853.3,285.3,670.4,1176.1,302.9,995.0,96.3,863.1,791.8,1487.0,580.9,586.6,698.1,1191.0,1341.7,946.9,921.2,701.0,519.8,2256.6,542.4,462.6,160.6,744.4,1578.5,2211.1,1013.5,839.4,480.3,792.6,2214.5,1657.6,1039.9,537.7,375.2,1989.0
4,1511.7,563.4,1283.7,1419.6,0.0,1074.1,30.9,281.7,451.0,1050.7,526.3,1339.5,742.8,1784.9,1060.6,519.0,1165.1,1244.4,1323.3,481.1,494.7,829.9,1118.3,1101.9,997.7,1139.6,225.5,801.8,423.1,1000.7,1109.4,858.5,1079.8,1052.3,1580.2,1044.0,180.4,813.0,409.4,694.3,768.3,647.5,816.3,547.1,336.6,1053.0,1223.8,590.9
5,1277.1,818.5,1193.6,691.3,1052.6,0.0,1021.8,1334.3,851.2,616.5,665.4,1249.5,1507.8,1056.6,628.4,830.6,436.8,1061.8,595.0,821.1,749.8,1141.5,232.2,544.6,416.5,601.3,996.2,904.9,879.2,419.4,528.1,1911.1,193.7,471.0,851.9,462.8,1233.0,1865.6,1180.2,797.5,438.3,750.6,1869.0,1312.1,1107.4,342.2,421.2,1643.5
6,1480.9,532.6,1314.5,1388.7,30.9,1043.2,0.0,312.5,420.1,1019.8,495.4,1370.4,773.7,1754.1,1029.8,488.1,1134.2,927.7,1292.4,450.2,463.9,799.0,1087.5,1071.1,966.9,1108.7,194.6,770.9,392.2,969.8,1078.5,889.3,1049.0,1021.4,1549.3,1013.2,211.2,843.8,378.6,663.5,737.4,616.6,847.2,578.0,305.8,1022.1,1192.9,621.8
7,1793.4,845.1,1002.0,1701.2,281.7,1355.7,312.5,0.0,732.7,1332.4,808.0,1057.9,627.5,2066.6,1342.3,800.6,1446.7,962.7,1604.9,762.8,776.4,688.8,1400.0,1383.6,1279.4,1421.3,507.2,1083.4,704.7,1282.3,1391.1,576.8,1361.5,1333.9,1861.9,1325.7,101.3,531.3,691.1,976.0,1049.9,929.1,534.7,460.2,618.3,1334.7,1505.4,309.2
8,1680.8,208.1,735.1,893.2,451.0,851.2,420.1,732.7,0.0,1219.8,695.4,791.0,1193.8,1258.6,705.3,688.0,638.7,603.3,796.9,30.1,101.4,999.0,740.8,746.6,1166.8,1308.7,394.6,446.4,27.9,1169.7,842.0,1309.5,702.3,784.9,1053.9,1213.1,631.4,1264.0,215.9,339.0,412.9,292.1,1267.3,998.1,242.4,697.7,623.1,1041.9
9,623.5,1319.3,1638.7,898.2,1037.8,616.5,1006.9,1319.4,1206.8,0.0,650.5,1694.5,1492.9,1111.3,997.6,815.7,643.7,1506.8,801.9,1237.0,1250.6,1126.7,660.8,913.8,200.1,88.9,981.4,1274.1,1178.9,243.0,385.0,1896.2,622.3,530.9,1059.4,153.8,1218.1,1850.7,1165.3,1166.7,807.5,1119.8,1854.1,1297.2,1092.5,770.8,702.4,1628.7
