,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,1253.1,926.3,1242.9,1178.4,1624.5,811.7,2068.3,1608.0,1515.2,2178.5,797.0,989.3,967.8,1467.0,1210.0,1067.6,2121.1
1,1265.2,0.0,765.0,570.4,106.3,552.6,441.4,1286.6,649.8,711.7,1396.8,456.1,611.0,480.3,972.2,1152.3,185.5,1339.4
2,938.3,822.6,0.0,1086.7,748.0,950.2,381.2,1666.6,1291.2,1353.1,1776.8,366.5,129.0,537.3,1613.6,1510.3,637.1,1427.1
3,1253.1,584.8,1043.6,0.0,510.1,768.4,720.0,990.2,529.9,437.1,1100.4,734.7,889.6,758.9,543.7,609.2,474.0,1043.0
4,1190.5,106.3,690.3,495.7,0.0,594.5,366.7,1328.5,691.7,753.6,1438.7,381.4,536.3,405.7,1014.1,1194.2,110.8,1381.3
5,1636.5,552.6,950.2,753.9,602.9,0.0,812.8,837.1,298.0,359.9,947.3,827.5,796.2,851.7,620.3,800.4,566.8,889.9
6,823.8,441.4,381.2,705.5,366.7,812.8,0.0,1546.8,910.0,971.9,1657.0,14.7,444.3,156.1,1232.4,1129.1,255.9,1599.6
7,2064.1,1286.6,1666.6,990.2,1336.9,837.1,1546.8,0.0,805.3,712.5,110.2,1561.5,1512.6,1585.7,690.1,1007.0,1300.8,239.5
8,1603.8,649.8,1248.1,529.9,700.2,298.0,910.0,805.3,0.0,153.0,915.5,924.7,1094.1,948.9,413.5,593.5,664.0,858.2
9,1449.3,711.7,1310.0,375.5,762.1,359.9,971.9,712.5,153.0,0.0,822.7,986.6,1156.0,1010.8,320.6,500.7,725.9,765.3
10,2174.3,1396.8,1776.8,1100.4,1447.1,947.3,1657.0,110.2,915.5,822.7,0.0,1671.7,1622.8,1695.9,800.3,896.8,1411.0,349.7
11,809.1,456.1,366.5,720.2,381.4,827.5,14.7,1561.5,924.7,986.6,1671.7,0.0,429.6,170.8,1247.1,1143.8,270.6,1614.3
12,1001.4,611.0,129.0,875.1,536.3,796.2,444.3,1512.6,1094.1,1156.0,1622.8,429.6,0.0,600.4,1416.5,1298.7,425.5,1273.1
13,979.9,480.3,537.3,744.4,405.7,851.7,156.1,1585.7,948.9,1010.8,1695.9,170.8,626.0,0.0,1271.3,1168.0,294.8,1638.5
14,1617.5,972.2,1570.5,543.7,1022.6,620.3,1232.4,690.1,413.5,320.6,800.3,1247.1,1416.5,1271.3,0.0,398.6,986.4,742.9
15,1205.7,1152.3,1452.7,609.2,1091.2,800.4,1129.1,1007.0,593.5,500.7,896.8,1143.8,1298.7,1168.0,398.6,0.0,937.5,1021.2
16,1079.7,185.5,579.5,459.5,110.8,566.8,255.9,1300.8,664.0,725.9,1411.0,270.6,425.5,294.8,986.4,937.5,0.0,1353.6
17,2116.9,1339.4,1427.1,1043.0,1389.7,889.9,1599.6,239.5,858.2,765.3,349.7,1614.3,1273.1,1638.5,742.9,1021.2,1353.6,0.0
