,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.0,1683.7,1248.2,870.7,1728.4,1269.0,1592.0,1080.7,780.3,1226.0,1813.4,1292.6,1624.0,2349.5,1440.1,1850.9,1400.6,1491.0,2354.7,1046.9,1414.2,2222.6,2364.5,1847.7,1847.7,2364.5,583.4,1152.0,2127.9,1340.2,2319.4,1195.8,2094.0
1,1674.9,0.0,928.3,1159.4,216.3,1001.3,1279.2,985.7,884.9,718.7,936.3,965.9,737.3,1098.4,243.6,973.7,1038.3,936.2,1103.6,1094.9,835.2,971.5,1113.4,970.6,970.6,1113.4,1501.7,1186.0,222.3,1072.5,1068.3,833.5,803.8
2,1262.7,928.3,0.0,284.1,806.8,484.7,1127.1,167.5,510.3,304.4,1348.6,827.8,1159.1,1884.7,684.7,1386.0,479.0,569.4,1889.9,166.6,492.6,1757.8,1899.7,1382.9,1382.9,1899.7,683.5,367.8,1150.7,556.0,1854.5,274.2,1629.1
3,866.4,1159.4,341.1,0.0,1037.9,425.7,1068.1,173.6,741.3,535.4,1289.6,768.8,1100.2,1825.7,915.7,1327.0,710.1,800.4,1830.9,268.4,723.7,1698.8,1840.7,1323.9,1323.9,1840.7,361.1,308.8,1381.7,497.0,1795.6,505.3,1570.1
4,1891.2,216.3,806.8,1037.9,0.0,717.5,1063.0,864.2,948.1,502.4,720.0,749.6,521.0,1256.1,459.9,757.4,754.5,719.9,1261.3,973.4,618.9,1129.2,1271.1,754.3,754.3,1271.1,1413.3,906.4,268.0,788.8,1226.0,637.7,1000.5
5,1283.5,933.8,442.0,425.7,717.5,0.0,1147.9,317.2,583.2,215.1,1369.4,848.6,816.6,1905.5,757.6,1406.8,389.7,480.1,1910.7,608.6,403.3,1778.5,1920.5,1403.6,1403.6,1920.5,704.3,234.8,985.5,71.3,1875.3,272.9,1649.9
6,1588.5,1566.4,1136.4,1077.4,1350.1,1157.2,0.0,968.9,1536.6,1330.7,1179.8,659.0,990.3,1715.9,1711.0,1217.2,1505.4,1595.7,1721.1,1303.0,1519.0,1588.9,1730.9,1214.0,1214.0,1730.9,1009.4,1040.2,1618.1,1228.5,1685.7,1300.6,1460.3
7,1095.2,985.7,167.5,173.6,864.2,317.2,959.6,0.0,567.7,361.8,1181.1,660.3,991.7,1717.2,742.1,1218.5,536.4,626.8,1722.4,334.1,550.0,1590.3,1732.2,1215.4,1215.4,1732.2,516.0,200.3,1208.1,388.5,1687.0,331.6,1461.6
8,799.1,884.9,510.3,741.3,948.1,583.2,1527.3,567.7,0.0,445.6,1748.8,1228.0,1047.2,2284.9,641.3,1786.2,620.3,710.6,2290.1,676.9,633.9,2158.0,2299.9,1783.1,1783.1,2299.9,1017.5,768.0,1107.3,654.5,2254.7,415.5,2029.3
9,1244.7,718.7,304.4,535.4,502.4,215.1,1321.4,361.8,445.6,0.0,898.1,1022.1,601.5,1434.2,620.0,935.5,252.1,342.5,1439.4,471.0,265.7,1307.3,1449.2,932.4,932.4,1449.2,877.8,403.9,770.4,286.3,1404.1,135.3,1178.7
